ds,temp,temp_min,temp_max,source
2026-06-25,31.100000000000005,22.110000000000003,39.435,forecast
2026-06-26,30.32,22.550000000000004,38.14500000000001,forecast
2026-06-27,29.755000000000003,21.315,38.150000000000006,forecast
2026-06-28,25.405000000000005,20.310000000000006,29.665000000000003,forecast
2026-06-29,23.150000000000002,17.360000000000003,29.140000000000004,forecast
2026-06-30,22.730000000000004,17.230000000000004,29.19,forecast
2026-07-01,20.995000000000005,16.305000000000003,25.865000000000002,forecast
2026-07-02,20.405000000000005,15.195000000000002,25.045000000000005,forecast
2026-07-03,20.215,15.48,24.985000000000003,forecast
2026-07-04,20.95,15.835000000000003,26.195000000000004,forecast
2026-07-05,21.175,17.385,25.180000000000003,forecast
2026-07-06,18.03,14.685,21.185000000000006,forecast
2026-07-07,16.990000000000002,13.725,20.565,forecast
2026-07-08,17.490000000000002,12.790000000000001,22.23,forecast
2026-07-09,19.055000000000003,14.24,23.825000000000003,forecast
2026-07-10,19.785000000000004,14.195,26.705000000000002,forecast
2026-07-11,20.048000000000002,14.757222222222225,25.113333333333333,climatology
2026-07-12,20.245888888888892,14.955000000000004,25.325111111111116,climatology
2026-07-13,20.414666666666673,15.117333333333336,25.52744444444445,climatology
2026-07-14,20.549111111111117,15.327666666666667,25.651333333333334,climatology
2026-07-15,20.567555555555558,15.368444444444446,25.682444444444446,climatology
2026-07-16,20.591,15.477333333333332,25.669777777777778,climatology
2026-07-17,20.549333333333337,15.598777777777777,25.504222222222225,climatology
2026-07-18,20.33466666666667,15.507777777777779,25.174777777777777,climatology
2026-07-19,20.115000000000006,15.287111111111114,24.92355555555556,climatology
2026-07-20,20.007888888888893,15.256000000000004,24.76277777777778,climatology
2026-07-21,19.957444444444448,15.328111111111113,24.648888888888894,climatology
2026-07-22,19.944333333333336,15.34488888888889,24.61855555555556,climatology
2026-07-23,20.000333333333337,15.399,24.734222222222225,climatology
2026-07-24,20.131555555555558,15.497555555555557,24.914333333333335,climatology
