run_date,ds,temp,temp_min,temp_max,source
2026-06-15,2026-06-15,21.55,12.840000000000002,29.250000000000004,forecast
2026-06-15,2026-06-16,22.860000000000003,16.255000000000006,29.82,forecast
2026-06-15,2026-06-17,24.030000000000005,15.82,31.915000000000003,forecast
2026-06-15,2026-06-18,25.925000000000004,16.490000000000002,34.595000000000006,forecast
2026-06-15,2026-06-19,26.0,18.555000000000003,33.46000000000001,forecast
2026-06-15,2026-06-20,26.905,18.445000000000004,34.78000000000001,forecast
2026-06-15,2026-06-21,29.585000000000004,19.945000000000004,38.78000000000001,forecast
2026-06-15,2026-06-22,26.955,20.760000000000005,34.33500000000001,forecast
2026-06-15,2026-06-23,22.590000000000003,18.535,26.72,forecast
2026-06-15,2026-06-24,21.875000000000004,16.405,27.320000000000004,forecast
2026-06-15,2026-06-25,23.44,17.765000000000004,29.18500000000001,forecast
2026-06-15,2026-06-26,24.055000000000003,18.425,29.51,forecast
2026-06-15,2026-06-27,26.645000000000007,19.81,33.59000000000001,forecast
2026-06-15,2026-06-28,28.405,21.795000000000005,34.87500000000001,forecast
2026-06-15,2026-06-29,28.155,23.06,34.48500000000001,forecast
2026-06-15,2026-06-30,27.735000000000007,20.415000000000003,35.67000000000001,forecast
2026-06-15,2026-07-01,20.40466666666667,15.205333333333334,25.395222222222223,climatology
2026-06-15,2026-07-02,20.37988888888889,15.207222222222224,25.36611111111112,climatology
2026-06-15,2026-07-03,20.322444444444447,15.201222222222224,25.26833333333333,climatology
2026-06-15,2026-07-04,20.39555555555556,15.213444444444445,25.41311111111112,climatology
2026-06-15,2026-07-05,20.377444444444446,15.227333333333332,25.376777777777782,climatology
2026-06-15,2026-07-06,20.22966666666667,15.113444444444449,25.186222222222227,climatology
2026-06-15,2026-07-07,20.084333333333337,14.95877777777778,25.062111111111115,climatology
2026-06-15,2026-07-08,19.96644444444445,14.851444444444445,24.888111111111115,climatology
2026-06-15,2026-07-09,19.84311111111112,14.721555555555556,24.742222222222228,climatology
2026-06-15,2026-07-10,19.84366666666667,14.701555555555556,24.754,climatology
2026-06-15,2026-07-11,20.048,14.757222222222223,25.113333333333333,climatology
2026-06-15,2026-07-12,20.24588888888889,14.955000000000004,25.32511111111112,climatology
2026-06-15,2026-07-13,20.41466666666668,15.117333333333336,25.52744444444445,climatology
2026-06-15,2026-07-14,20.54911111111112,15.327666666666667,25.651333333333337,climatology
2026-06-18,2026-06-18,26.515000000000004,17.115000000000002,35.17000000000001,forecast
2026-06-18,2026-06-19,27.595,19.475,35.52,forecast
2026-06-18,2026-06-20,26.68500000000001,17.835000000000004,34.940000000000005,forecast
2026-06-18,2026-06-21,29.370000000000005,20.390000000000004,38.470000000000006,forecast
2026-06-18,2026-06-22,31.765000000000004,22.475,41.18500000000001,forecast
2026-06-18,2026-06-23,31.68,21.87,41.63500000000001,forecast
2026-06-18,2026-06-24,30.735000000000003,22.375,39.470000000000006,forecast
2026-06-18,2026-06-25,28.535,21.840000000000003,33.970000000000006,forecast
2026-06-18,2026-06-26,28.010000000000005,21.710000000000004,34.24000000000001,forecast
2026-06-18,2026-06-27,28.945,22.600000000000005,35.81000000000001,forecast
2026-06-18,2026-06-28,30.040000000000003,23.825000000000003,36.345000000000006,forecast
2026-06-18,2026-06-29,29.165,24.520000000000007,34.36500000000001,forecast
2026-06-18,2026-06-30,23.765000000000004,20.230000000000004,27.200000000000003,forecast
2026-06-18,2026-07-01,20.225000000000005,17.315000000000005,23.605000000000004,forecast
2026-06-18,2026-07-02,19.575000000000003,15.355000000000002,23.965000000000007,forecast
2026-06-18,2026-07-03,24.105000000000004,15.53,32.87500000000001,forecast
2026-06-18,2026-07-04,20.39555555555556,15.213444444444445,25.41311111111112,climatology
2026-06-18,2026-07-05,20.377444444444446,15.227333333333334,25.37677777777778,climatology
2026-06-18,2026-07-06,20.22966666666667,15.113444444444449,25.186222222222227,climatology
2026-06-18,2026-07-07,20.084333333333337,14.95877777777778,25.062111111111115,climatology
2026-06-18,2026-07-08,19.96644444444445,14.851444444444445,24.888111111111115,climatology
2026-06-18,2026-07-09,19.84311111111111,14.72155555555556,24.742222222222225,climatology
2026-06-18,2026-07-10,19.843666666666667,14.701555555555556,24.754000000000005,climatology
2026-06-18,2026-07-11,20.048,14.757222222222223,25.113333333333333,climatology
2026-06-18,2026-07-12,20.24588888888889,14.955000000000004,25.32511111111112,climatology
2026-06-18,2026-07-13,20.41466666666668,15.117333333333336,25.52744444444445,climatology
2026-06-18,2026-07-14,20.54911111111112,15.327666666666667,25.651333333333334,climatology
2026-06-18,2026-07-15,20.56755555555556,15.368444444444446,25.68244444444445,climatology
2026-06-18,2026-07-16,20.591,15.477333333333332,25.66977777777777,climatology
2026-06-18,2026-07-17,20.549333333333337,15.598777777777778,25.504222222222225,climatology
2026-06-19,2026-06-19,26.935,18.520000000000007,34.565000000000005,forecast
2026-06-19,2026-06-20,26.905,17.850000000000005,35.45000000000001,forecast
2026-06-19,2026-06-21,28.610000000000003,19.380000000000003,37.73500000000001,forecast
2026-06-19,2026-06-22,31.065,20.905000000000005,40.290000000000006,forecast
2026-06-19,2026-06-23,30.605,21.390000000000004,39.13000000000001,forecast
2026-06-19,2026-06-24,26.875000000000004,19.4,34.385000000000005,forecast
2026-06-19,2026-06-25,26.265,19.295000000000005,33.89,forecast
2026-06-19,2026-06-26,27.06,18.225000000000005,35.32,forecast
2026-06-19,2026-06-27,29.22,24.175000000000004,35.26500000000001,forecast
2026-06-19,2026-06-28,27.03,22.165000000000003,32.86000000000001,forecast
2026-06-19,2026-06-29,28.29,22.915000000000003,34.790000000000006,forecast
2026-06-19,2026-06-30,28.985000000000003,24.135000000000005,35.35500000000001,forecast
2026-06-19,2026-07-01,28.315,24.170000000000005,33.28000000000001,forecast
2026-06-19,2026-07-02,27.195000000000004,22.1,33.11000000000001,forecast
2026-06-19,2026-07-03,24.765000000000004,20.915000000000003,29.2,forecast
2026-06-19,2026-07-04,22.73,14.345,32.25500000000001,forecast
2026-06-19,2026-07-05,20.377444444444446,15.227333333333334,25.376777777777782,climatology
2026-06-19,2026-07-06,20.22966666666667,15.113444444444449,25.186222222222227,climatology
2026-06-19,2026-07-07,20.084333333333337,14.95877777777778,25.062111111111115,climatology
2026-06-19,2026-07-08,19.96644444444445,14.851444444444445,24.888111111111115,climatology
2026-06-19,2026-07-09,19.84311111111112,14.72155555555556,24.742222222222228,climatology
2026-06-19,2026-07-10,19.843666666666667,14.701555555555556,24.754,climatology
2026-06-19,2026-07-11,20.048,14.757222222222223,25.113333333333337,climatology
2026-06-19,2026-07-12,20.24588888888889,14.955000000000004,25.32511111111112,climatology
2026-06-19,2026-07-13,20.41466666666668,15.117333333333336,25.52744444444445,climatology
2026-06-19,2026-07-14,20.54911111111112,15.327666666666667,25.651333333333337,climatology
2026-06-19,2026-07-15,20.56755555555556,15.368444444444446,25.68244444444445,climatology
2026-06-19,2026-07-16,20.591,15.477333333333332,25.66977777777777,climatology
2026-06-19,2026-07-17,20.549333333333337,15.598777777777778,25.504222222222225,climatology
2026-06-19,2026-07-18,20.33466666666667,15.50777777777778,25.17477777777778,climatology
2026-06-23,2026-06-23,30.225000000000005,22.035,38.80500000000001,forecast
2026-06-23,2026-06-24,30.44,21.575,39.68000000000001,forecast
2026-06-23,2026-06-25,30.905,22.65,38.60000000000001,forecast
2026-06-23,2026-06-26,29.855000000000004,22.785000000000004,36.905,forecast
2026-06-23,2026-06-27,29.085000000000004,22.06,36.43500000000001,forecast
2026-06-23,2026-06-28,26.9,21.335000000000004,33.470000000000006,forecast
2026-06-23,2026-06-29,25.58,19.770000000000007,32.415000000000006,forecast
2026-06-23,2026-06-30,23.545,19.785,28.580000000000005,forecast
2026-06-23,2026-07-01,22.93500000000001,19.340000000000003,27.065,forecast
2026-06-23,2026-07-02,24.37,20.430000000000003,29.73,forecast
2026-06-23,2026-07-03,22.950000000000003,19.705,27.245,forecast
2026-06-23,2026-07-04,22.695,19.1,26.56,forecast
2026-06-23,2026-07-05,24.030000000000005,19.33,28.945000000000004,forecast
2026-06-23,2026-07-06,25.195,20.880000000000003,30.020000000000003,forecast
2026-06-23,2026-07-07,24.680000000000003,17.470000000000002,31.210000000000004,forecast
2026-06-23,2026-07-08,21.495000000000005,12.825,30.485000000000003,forecast
2026-06-23,2026-07-09,19.84311111111112,14.721555555555556,24.742222222222225,climatology
2026-06-23,2026-07-10,19.843666666666667,14.701555555555558,24.754,climatology
2026-06-23,2026-07-11,20.048,14.757222222222223,25.113333333333333,climatology
2026-06-23,2026-07-12,20.24588888888889,14.955000000000004,25.32511111111112,climatology
2026-06-23,2026-07-13,20.41466666666668,15.117333333333336,25.52744444444445,climatology
2026-06-23,2026-07-14,20.54911111111112,15.327666666666667,25.651333333333334,climatology
2026-06-23,2026-07-15,20.56755555555556,15.368444444444448,25.68244444444445,climatology
2026-06-23,2026-07-16,20.591,15.477333333333334,25.66977777777777,climatology
2026-06-23,2026-07-17,20.54933333333334,15.59877777777778,25.504222222222225,climatology
2026-06-23,2026-07-18,20.33466666666667,15.50777777777778,25.174777777777777,climatology
